Table S3H. Media composition,,,
"In silico media composition. The media composition is based on the experimentally characterized composition of the SP-4 media on which M. genitalium is generally cultured, with additional essential molecules added to support in silico cellular growth. Non-gaseous molecules are added to the extracellular environment at the beginning of the simulation and either drain or accumulate over the length of the simulation. Baseous molecules are continuously perfused into the extracellular environment and are maintained at a constant concentration throughout the simulation.",,,
,,,
ID,Name,Concentration mM,Comments
NAD,"nicotinamide adenine dinucleotide, oxidized","0,01",
NADP,"nicotinamide adenine dinucleotide phosphate, oxidized","0,00",
NI,nickel,"0,01",Set to value used by Krishnaswamy and Wilson to study nickel accumulation in E. coli [PUB_0765].
O2,oxygen,"0,27",Incubator provides ~21% O2 = 160 mmHg [PUB_0171]. Equilbrium constant of solvation is 769.2 L*atm/mol [PUB_0171].
OCDCA,octadecanoate (n-C18:0),"0,32",SP4 media composition calculations estimated SP4 media contains 18.5 mg OCDCA / L. However the simulation suggests additional OCDCA is required for growth. Concentration set to 90 mg / L to support growth.
OCDCEA,octadecenoate (n-C18:1),"0,32",SP4 media composition calculations estimated SP4 media contains 18.4 mg OCDCEA / L. However the simulation suggests additional OCDCEA is required for growth. Concentration set to 90 mg / L to support growth.
penicillin_G,penicillin G,"0,00",
PhePhe,L-phenylalanyl-L-phenylalanine,"3,40",
PI,phosphate,"1,50",
PL5P,Pyridoxal 5'-phosphate,"0,00",
ProPro,L-prolyl-L-proline,"8,25",
PTRC,putrescine,"0,10",Set to spermidine concentration.
PYDX,Pyridoxal,"0,00",
RIBFLV,"riboflavin, oxidized","0,00",
SerSer,L-seryl-L-serine,"5,38",
SO4,sulphate,"0,67",
SPMD,spermidine,"0,10",Set to value in Serrano et al M. pneumoniae minimal media for spermine [PUB_0614].
STEROL,cholesterol,"0,44",
THF,"5,6,7,8-Tetrahydrofolate","0,00",Originally set to value for folic acid. However fast growing cells may exhaust this folic acid. THF concentration now set to 25X that of folic acid.
THM,thiamine,"0,00",
ThrThr,L-threonyl-L-threonine,"4,70",
THY,thymine,"0,08",Set to value in Serrano et al M. pneumoniae minimal media [PUB_0614].
TrpTrp,L-trytophanyl-L-trytophan,"0,31",
TTDCA,tetradecanoate (n-C14:0),"0,31",SP4 media composition calculations estimated SP4 media contains 14.9 mg TTDCA / L. However the simulation suggests additional TTDCA is required for growth. Concentration set to 70 mg / L to support growth.
TTDCEA,tetradecenoate (n-C14:1),"0,31",SP4 media composition calculations estimated SP4 media contains 14.75 mg TTDCEA / L. However the simulation suggests additional TTDCEA is required for growth. Concentration set to 70 mg / L to support growth.
TWEEN80,Tween 80; Polyoxyethylene (20) sorbitan monooleate; polysorbate 80,"0,00",
TyrTyr,L-tyrosyl-L-tyrosine,"1,13",
URA,uracil,"0,18",Set to value in Serrano et al M. pneumoniae minimal media [PUB_0614].
UTP,UTP,"0,00",
ValVal,L-valyl-L-valine,"5,87",
XAN,xanthine,"0,00",
ZN,zinc ion,"0,01",
